PlanName,Frequency,TargetAmount,HasInterest,TotalSavings,IsActive,LastSavingsAmount,LastSavingsDate,AutoSave,SavingStartDate,ShouldLockSavings,LockDuration,LastWithdrawalDate,LastWithdrawalAmount,MaturityDate,SavingAmount,Accruedinterest,LastInterestPaidDate,AccruedInterestPercentage,NextAutoSaveDate,NextWithdrawalDate,MaturityDays,HasMatured
First month (october),,200,True,50800.0,True,50000.0,09-10-2023 09:10:04,True,23-09-2027 07:15:00,False,0,,,24-09-2023 13:56:56,400,0,,,09-11-2023 09:10:04,,1,False
withdraw immediately,,200,True,400,True,400,23-09-2023 03:09:18,False,23-09-2023 23:15:00,False,0,,,24-09-2023 03:09:18,400,,,,,,1,False
withdraw immediately,,0,True,1200,True,400,03-10-2023 07:55:11,True,20-09-2024 23:15:00,False,0,,,24-09-2023 03:48:30,400,0,,,04-10-2023 07:55:11,,1,False
withdraw immediately,,200,True,1600,True,400,03-10-2023 07:55:12,True,23-09-2023 23:15:00,False,0,,,24-09-2023 03:08:50,400,0,,,04-10-2023 07:55:12,,1,False
withdraw immediately,,100,True,0,True,,,True,23-09-2023 23:15:00,False,0,,,24-09-2023 03:22:50,-400,,,,24-09-2023 23:15:00,,1,False
withdraw immediately,,200,True,1600,True,400,03-10-2023 07:55:15,True,20-09-2023 23:15:00,False,0,,,21-09-2023 15:51:56,400,0,,,04-10-2023 07:55:15,,1,False
withdraw immediately,,200,True,1800,True,500,23-09-2023 04:21:48,False,23-09-2023 23:15:00,False,0,,,03-10-2023 03:09:02,500,0.00,,,24-09-2023 04:17:04,,10,False
Marriage,,50000,True,900,True,100,21-02-2024 15:32:05,True,12-09-2023 21:50:51,False,0,,,11-09-2024 21:51:40,100,12.109589041095890410958904108,,,22-02-2024 15:32:05,,365,False
Updated Plan,,4000,True,0,True,,,False,23-09-2027 07:15:00,False,0,,,03-10-2023 04:36:02,3000,,,,23-10-2027 07:15:00,03-10-2027 07:15:00,10,False
New Savings Plan,,200,True,0,True,,,True,23-09-2027 07:15:00,False,0,,,24-09-2023 04:31:49,400,,,,23-09-2027 07:15:00,,1,False
withdraw immediately,,200,True,1200,True,400,03-10-2023 07:55:11,True,20-09-2024 23:15:00,False,0,,,24-09-2023 03:35:50,400,0,,,04-10-2023 07:55:11,,1,False
withdraw immediately,,100,True,0,True,,,True,23-09-2024 23:15:00,False,0,,,24-09-2023 03:54:53,-400,,,,24-09-2024 23:15:00,,1,False
Monthly savings,,115,True,2600,True,100,03-10-2023 07:55:12,True,18-09-2023 23:15:00,True,0,,,19-09-2023 22:06:45,100,0,,,04-10-2023 07:55:12,19-09-2023 22:06:45,1,False
New Savings Plan,,200,True,1200,True,400,03-10-2023 07:55:12,True,23-09-2027 07:15:00,False,0,,,24-09-2023 03:38:28,400,0,,,04-10-2023 07:55:12,,1,False
withdraw immediately,,200,True,12706,True,144,03-11-2023 10:47:51,True,20-09-2023 23:15:00,False,0,03-10-2023 13:10:41,200,21-09-2023 15:48:49,400,0,,,04-11-2023 10:47:51,21-09-2023 23:15:00,1,False
withdraw immediately,,100,True,0,True,,,True,23-09-2024 23:15:00,False,0,,,24-09-2023 11:35:26,-400,,,,24-09-2024 23:15:00,,1,False
New Savings Plan,,200,True,800,True,400,03-10-2023 07:55:16,True,23-09-2027 07:15:00,False,0,,,24-09-2023 04:32:06,400,0,,,03-11-2023 07:55:16,,1,False
New Savings Plan,,200,True,0,True,,,True,23-09-2027 07:15:00,False,0,,,24-09-2023 04:32:15,400,,,,23-09-2027 07:15:00,,1,False
Weekly savings,,200,True,500,True,100,03-10-2023 07:55:12,True,19-09-2023 23:15:00,True,0,,,20-09-2023 15:17:41,100,0,,,04-10-2023 07:55:12,20-09-2023 15:17:41,1,False
New Savings Plan,,200,True,0,True,,,True,23-09-2027 07:15:00,False,0,,,24-09-2023 04:33:34,400,,,,23-09-2027 07:15:00,,1,False
Weekly savings,,200,True,25300,True,100,03-10-2023 07:55:12,True,20-09-2023 23:15:00,False,0,20-09-2023 15:53:08,5000,21-09-2023 15:38:02,100,0,,,04-10-2023 07:55:12,21-09-2023 23:15:00,1,False
withdraw immediately,,-100,True,1600,True,400,03-10-2023 07:55:10,True,23-09-2023 23:15:00,False,0,,,24-09-2023 03:22:25,400,0,,,04-10-2023 07:55:10,,1,False
